run,metadata_field,value,precision,recall,f1
BL-1_Qwen2.5-7B-Instruct,cv_language,unknown,0.9265,0.734,0.8191
BL-1_Qwen2.5-7B-Instruct,difficulty,easy,0.9011,0.7404,0.8129
BL-1_Qwen2.5-7B-Instruct,difficulty,hard,0.9583,0.6806,0.796
BL-1_Qwen2.5-7B-Instruct,difficulty,medium,0.9303,0.7377,0.8229
BL-1_Qwen2.5-7B-Instruct,file_format,docx,0.9305,0.738,0.8231
BL-1_Qwen2.5-7B-Instruct,file_format,pdf,0.9155,0.7231,0.808
BL-1_Qwen2.5-7B-Instruct,role_family,backend_fullstack_software,0.9823,0.7789,0.8689
BL-1_Qwen2.5-7B-Instruct,role_family,cybersecurity_grc_privacy,0.8952,0.6836,0.7753
BL-1_Qwen2.5-7B-Instruct,role_family,data_bi_analytics,0.9649,0.7353,0.8346
BL-1_Qwen2.5-7B-Instruct,role_family,devops_cloud_platform,0.9227,0.7734,0.8415
BL-1_Qwen2.5-7B-Instruct,role_family,education_academic_research,1.0,0.7379,0.8492
BL-1_Qwen2.5-7B-Instruct,role_family,finance_accounting_audit,0.866,0.5957,0.7059
BL-1_Qwen2.5-7B-Instruct,role_family,healthcare_lab_clinical_ops,0.8613,0.7801,0.8187
BL-1_Qwen2.5-7B-Instruct,role_family,hr_talent_peopleops,0.9319,0.7479,0.8298
BL-1_Qwen2.5-7B-Instruct,role_family,legal_compliance_kvkk_gdpr,0.8971,0.7512,0.8177
BL-1_Qwen2.5-7B-Instruct,role_family,marketing_growth_content,0.956,0.7795,0.8588
BL-1_Qwen2.5-7B-Instruct,role_family,ml_ai_mlops,0.9518,0.7068,0.8112
BL-1_Qwen2.5-7B-Instruct,role_family,operations_supply_logistics,0.9141,0.8357,0.8731
BL-1_Qwen2.5-7B-Instruct,role_family,product_project_ba,0.9058,0.7266,0.8064
BL-1_Qwen2.5-7B-Instruct,role_family,sales_customer_success_crm,0.8387,0.628,0.7182
