section,value,count
difficulty_distribution,easy,35
difficulty_distribution,hard,20
difficulty_distribution,medium,45
format_distribution,docx,45
format_distribution,pdf,55
language_distribution,en,30
language_distribution,mixed,10
language_distribution,tr,60
page_count_distribution,1,55
page_count_distribution,2,35
page_count_distribution,3,10
project_type_distribution,academic_thesis_research,9
project_type_distribution,ambiguous_project_text,10
project_type_distribution,compliance_audit_kvkk,15
project_type_distribution,marketing_campaign,12
project_type_distribution,process_operations,16
project_type_distribution,software_ai_data,33
role_family_distribution,backend_fullstack_software,14
role_family_distribution,cybersecurity_grc_privacy,8
role_family_distribution,data_bi_analytics,10
role_family_distribution,devops_cloud_platform,8
role_family_distribution,education_academic_research,4
role_family_distribution,finance_accounting_audit,7
role_family_distribution,healthcare_lab_clinical_ops,5
role_family_distribution,hr_talent_peopleops,7
role_family_distribution,legal_compliance_kvkk_gdpr,5
role_family_distribution,marketing_growth_content,6
role_family_distribution,ml_ai_mlops,8
role_family_distribution,operations_supply_logistics,4
role_family_distribution,product_project_ba,8
role_family_distribution,sales_customer_success_crm,6
seniority_distribution,intern,8
seniority_distribution,junior,21
seniority_distribution,lead_manager,12
seniority_distribution,mid,32
seniority_distribution,senior,27
template_distribution,academic_research,8
template_distribution,chronological,35
template_distribution,noisy_sparse_unusual,5
template_distribution,one_column_clean,12
template_distribution,project_heavy,15
template_distribution,skills_first,15
template_distribution,two_column_modern,10
