run,relation,precision,recall,f1,tp,fp,fn
BL-1_Qwen2.5-7B-Instruct,AT_COMPANY,0.995,0.9434,0.9685,200,1,12
BL-1_Qwen2.5-7B-Instruct,AT_INSTITUTION,0.931,0.8265,0.8757,81,6,17
BL-1_Qwen2.5-7B-Instruct,HAS_CERTIFICATION,0.8723,0.8542,0.8632,82,12,14
BL-1_Qwen2.5-7B-Instruct,HAS_EDUCATION,0.9213,0.8367,0.877,82,7,16
BL-1_Qwen2.5-7B-Instruct,HAS_EXPERIENCE,0.9711,0.9216,0.9457,235,7,20
BL-1_Qwen2.5-7B-Instruct,HAS_PROJECT,0.0,0.0,0.0,0,0,85
BL-1_Qwen2.5-7B-Instruct,HAS_SKILL,0.9547,0.9491,0.9519,969,46,52
BL-1_Qwen2.5-7B-Instruct,PROJECT_USED_SKILL,0.0,0.0,0.0,0,0,350
BL-1_Qwen2.5-7B-Instruct,SPEAKS,0.8794,0.8794,0.8794,124,17,17
BL-1_Qwen2.5-7B-Instruct,USED_SKILL,0.887,0.701,0.7831,926,118,395
BL-2_Qwen2.5-7B-Instruct,AT_COMPANY,0.99,0.9387,0.9637,199,2,13
BL-2_Qwen2.5-7B-Instruct,AT_INSTITUTION,0.9762,0.8367,0.9011,82,2,16
BL-2_Qwen2.5-7B-Instruct,HAS_CERTIFICATION,0.9302,0.8333,0.8791,80,6,16
BL-2_Qwen2.5-7B-Instruct,HAS_EDUCATION,0.9765,0.8469,0.9071,83,2,15
BL-2_Qwen2.5-7B-Instruct,HAS_EXPERIENCE,0.9628,0.9137,0.9376,233,9,22
BL-2_Qwen2.5-7B-Instruct,HAS_PROJECT,0.0,0.0,0.0,0,0,85
BL-2_Qwen2.5-7B-Instruct,HAS_SKILL,0.9551,0.9373,0.9461,957,45,64
BL-2_Qwen2.5-7B-Instruct,PROJECT_USED_SKILL,0.0,0.0,0.0,0,0,350
BL-2_Qwen2.5-7B-Instruct,SPEAKS,0.9858,0.9858,0.9858,139,2,2
BL-2_Qwen2.5-7B-Instruct,USED_SKILL,0.8177,0.7267,0.7695,960,214,361
SYS-A_Qwen2.5-7B-Instruct,AT_COMPANY,0.88,0.934,0.9062,198,27,14
SYS-A_Qwen2.5-7B-Instruct,AT_INSTITUTION,0.9425,0.8367,0.8865,82,5,16
SYS-A_Qwen2.5-7B-Instruct,HAS_CERTIFICATION,0.7957,0.7708,0.7831,74,19,22
SYS-A_Qwen2.5-7B-Instruct,HAS_EDUCATION,0.9318,0.8367,0.8817,82,6,16
SYS-A_Qwen2.5-7B-Instruct,HAS_EXPERIENCE,0.8647,0.902,0.8829,230,36,25
SYS-A_Qwen2.5-7B-Instruct,HAS_PROJECT,0.0,0.0,0.0,0,0,85
SYS-A_Qwen2.5-7B-Instruct,HAS_SKILL,0.9118,0.9109,0.9113,930,90,91
SYS-A_Qwen2.5-7B-Instruct,PROJECT_USED_SKILL,0.0,0.0,0.0,0,0,350
SYS-A_Qwen2.5-7B-Instruct,SPEAKS,0.6082,0.7376,0.6667,104,67,37
SYS-A_Qwen2.5-7B-Instruct,USED_SKILL,0.7928,0.698,0.7424,922,241,399
SYS-B_Qwen2.5-7B-Instruct,AT_COMPANY,0.99,0.9387,0.9637,199,2,13
SYS-B_Qwen2.5-7B-Instruct,AT_INSTITUTION,0.9294,0.8061,0.8634,79,6,19
SYS-B_Qwen2.5-7B-Instruct,HAS_CERTIFICATION,0.9222,0.8646,0.8925,83,7,13
SYS-B_Qwen2.5-7B-Instruct,HAS_EDUCATION,0.7885,0.8367,0.8119,82,22,16
SYS-B_Qwen2.5-7B-Instruct,HAS_EXPERIENCE,0.9711,0.9216,0.9457,235,7,20
SYS-B_Qwen2.5-7B-Instruct,HAS_PROJECT,1.0,0.0941,0.172,8,0,77
SYS-B_Qwen2.5-7B-Instruct,HAS_SKILL,0.8974,0.9167,0.907,936,107,85
SYS-B_Qwen2.5-7B-Instruct,PROJECT_USED_SKILL,1.0,0.0943,0.1723,33,0,317
SYS-B_Qwen2.5-7B-Instruct,SPEAKS,0.9517,0.9787,0.965,138,7,3
SYS-B_Qwen2.5-7B-Instruct,USED_SKILL,0.7092,0.779,0.7424,1029,422,292
